Reporter,Partner,Year,Export_Value_USD_Scaled
USA,CHN,2015,1.0956811406418134
USA,CHN,2016,1.0932820747154157
USA,CHN,2017,1.1716944285833735
USA,CHN,2018,1.1191228323693005
USA,CHN,2019,1.036649591644951
USA,CHN,2020,1.1428960832516488
USA,CHN,2021,1.2749845323883087
USA,CHN,2022,1.2864182724750546
USA,CHN,2023,1.2585809780658226
USA,DEU,2015,0.5243292358393938
USA,DEU,2016,0.5163603945421071
USA,DEU,2017,0.5767028275063696
USA,DEU,2018,0.6226634096347211
USA,DEU,2019,0.6529812755629152
USA,DEU,2020,0.6255163449217002
USA,DEU,2021,0.7058092572396404
USA,DEU,2022,0.7770114569879891
USA,DEU,2023,0.8146186905613151
USA,MEX,2015,1.5763436237180426
USA,MEX,2016,1.5606501623716933
USA,MEX,2017,1.596737830055888
USA,MEX,2018,1.656165747517514
USA,MEX,2019,1.6321002543409178
USA,MEX,2020,1.5043173009612163
USA,MEX,2021,1.6838601148756285
USA,MEX,2022,1.7903834488538994
USA,MEX,2023,1.7881225773132061
USA,CAN,2015,1.6910008982486275
USA,CAN,2016,1.656146990279201
USA,CAN,2017,1.6976320654879629
USA,CAN,2018,1.7370471503464964
USA,CAN,2019,1.7212590137872372
USA,CAN,2020,1.630875133088961
USA,CAN,2021,1.7589786050148557
USA,CAN,2022,1.8543396680087072
USA,CAN,2023,1.8482025895895031
USA,RUS,2015,-0.7972190517579965
USA,RUS,2016,-0.9331021673913973
USA,RUS,2017,-0.8052636327997009
USA,RUS,2018,-0.8394372644049779
USA,RUS,2019,-0.9342855440679336
USA,RUS,2020,-1.0484397622634822
USA,RUS,2021,-0.8676750064615784
USA,RUS,2022,-1.778345224134668
USA,RUS,2023,-2.47126110321447
USA,JPN,2015,0.6757624769098016
USA,JPN,2016,0.6842929446049268
USA,JPN,2017,0.7291877987153114
USA,JPN,2018,0.8009328681202857
USA,JPN,2019,0.794744801289192
USA,JPN,2020,0.6924385045471885
USA,JPN,2021,0.79706906372662
USA,JPN,2022,0.8446582985537979
USA,JPN,2023,0.8098895519952353
CHN,DEU,2015,0.7450214011012849
CHN,DEU,2016,0.7133955112491914
CHN,DEU,2017,0.7667709280582499
CHN,DEU,2018,0.8273399864991554
CHN,DEU,2019,0.8406430191479487
CHN,DEU,2020,0.8998834091921818
CHN,DEU,2021,1.0903064851101318
CHN,DEU,2022,1.095831116273802
CHN,DEU,2023,1.0015346329213872
CHN,MEX,2015,0.26025352993667134
CHN,MEX,2016,0.23455660345404844
CHN,MEX,2017,0.3031325965074394
CHN,MEX,2018,0.4413596796526122
CHN,MEX,2019,0.47415878449051374
CHN,MEX,2020,0.45202881061514916
CHN,MEX,2021,0.7277611422038456
CHN,MEX,2022,0.821294344571185
CHN,MEX,2023,0.8587364804289577
CHN,CAN,2015,0.16583192535196506
CHN,CAN,2016,0.12913067174126783
CHN,CAN,2017,0.21803784994751327
CHN,CAN,2018,0.2963136924713626
CHN,CAN,2019,0.31811010046091437
CHN,CAN,2020,0.4090899723740283
CHN,CAN,2021,0.5459512684039739
CHN,CAN,2022,0.5739338347676196
CHN,CAN,2023,0.46162301530979805
CHN,RUS,2015,0.27998625580645253
CHN,RUS,2016,0.3338952161820895
CHN,RUS,2017,0.42801715339647667
CHN,RUS,2018,0.4984625617566382
CHN,RUS,2019,0.5180385971467003
CHN,RUS,2020,0.5332365044660728
CHN,RUS,2021,0.7291120133577219
CHN,RUS,2022,0.8107743439337686
CHN,RUS,2023,1.0674668045031201
CHN,USA,2015,1.9503479677593278
CHN,USA,2016,1.9147160254293962
CHN,USA,2017,1.987158528092183
CHN,USA,2018,2.056705159117493
CHN,USA,2019,1.9630803211759207
CHN,USA,2020,2.016303529505528
CHN,USA,2021,2.181043639897382
CHN,USA,2022,2.1867635322828733
CHN,USA,2023,2.092744875203415
CHN,JPN,2015,1.2017323432193079
